loyalty_id,customer_id,reward_points,tier,last_updated_date
L001,C001,120,Silver,2026-08-01
L002,C002,240,Silver,2026-08-01
L003,C003,360,Silver,2026-08-01
L004,C004,480,Silver,2026-08-01
L005,C005,600,Silver,2026-08-01
L006,C006,720,Silver,2026-08-01
L007,C007,840,Silver,2026-08-01
L008,C008,960,Silver,2026-08-01
L009,C009,1080,Silver,2026-08-01
L010,C010,1200,Gold,2026-08-01
L011,C011,1320,Gold,2026-08-01
L012,C012,1440,Gold,2026-08-01
L013,C013,1560,Gold,2026-08-01
L014,C014,1680,Gold,2026-08-01
L015,C015,1800,Gold,2026-08-01
L016,C016,1920,Gold,2026-08-01
L017,C017,2040,Gold,2026-08-01
L018,C018,2160,Platinum,2026-08-01
L019,C019,2280,Platinum,2026-08-01
L020,C020,2400,Platinum,2026-08-01
L021,C021,2520,Platinum,2026-08-01
L022,C022,2640,Platinum,2026-08-01
L005,C005,600,Silver,2026-08-01
L005,C005,600,Silver,2026-08-01
L024,C999,500,Silver,2026-08-02
,C025,700,Silver,2026-08-03
L026,C026,-100,Silver,2026-08-04
L027,C027,,Gold,2026-08-05
L028,,900,Gold,2026-08-06
L029,C029,1000,Gold,not-a-date
