order_id,customer_id,product_id,order_date,quantity
O1001,C002,P002,2026-08-02,2
O1002,C003,P003,2026-08-03,3
O1003,C004,P004,2026-08-04,4
O1004,C005,P005,2026-08-05,5
O1005,C006,P006,2026-08-06,1
O1006,C007,P007,2026-08-07,2
O1007,C008,P008,2026-08-08,3
O1008,C009,P009,2026-08-09,4
O1009,C010,P010,2026-08-10,5
O1010,C011,P011,2026-08-11,1
O1011,C012,P012,2026-08-12,2
O1012,C013,P013,2026-08-13,3
O1013,C014,P014,2026-08-14,4
O1014,C015,P015,2026-08-15,5
O1015,C016,P016,2026-08-16,1
O1016,C017,P017,2026-08-17,2
O1017,C018,P018,2026-08-18,3
O1018,C019,P019,2026-08-19,4
O1019,C020,P020,2026-08-20,5
O1020,C001,P001,2026-08-21,1
O1003,C003,P003,2026-08-02,2
O1003,C003,P003,2026-08-02,2
O1023,,P004,2026-08-15,1
O1024,C999,P001,2026-08-16,2
O1025,C005,P999,2026-08-17,1
O1026,C006,P006,2026-13-04,4
O1027,C001,P002,not-a-date,2
O1028,C002,P003,2026-08-05,0
O1029,C003,P001,2026-08-05,-1
,C001,P001,2026-08-06,1
