product_id,product_name,category,price
P001,Matte Lipstick,Makeup,799
P002,Liquid Foundation,Makeup,1499
P003,Compact Powder,Makeup,699
P004,Mascara,Makeup,999
P005,Face Serum,Skincare,1299
P006,Moisturizer,Skincare,899
P007,Sunscreen SPF 50,Skincare,749
P008,Face Wash,Skincare,499
P009,Shampoo,Haircare,599
P010,Conditioner,Haircare,649
P011,Hair Oil,Haircare,399
P012,Hair Mask,Haircare,899
P013,Body Lotion,Bodycare,549
P014,Body Wash,Bodycare,449
P015,Perfume,Fragrance,2499
P016,Night Cream,Skincare,1599
P017,Vitamin C Serum,Skincare,1799
P018,Lip Balm,Makeup,249
P019,Nail Polish,Makeup,299
P020,Beauty Gift Hamper,Beauty Kit,2999
P021,Bridal Makeup Kit,Beauty Kit,4999
P022,Luxury Perfume,Fragrance,6999
P003,Compact Powder,Makeup,699
P024,Facial Kit,Beauty Kit,-500
P025,,Beauty Kit,1200
P026,Shampoo,,599
P027,Face Serum,Skincare,
P028,  Premium Beauty Box  ,Beauty Kit,3500
P029,Essential Oil,Bodycare,799
P030,Luxury Skincare Set,Skincare,9999
